mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
8.906,0.835,1.581,0.155,0.459,0.143,2.338,4.558,0
9.002,0.888,1.069,0.152,0.298,0.087,1.606,4.152,0
9.085,0.906,0.82,0.131,0.268,0.079,1.297,4.207,0
9.111,0.896,0.676,0.132,0.28,0.068,1.156,4.235,0
9.162,0.91,0.434,0.104,0.241,0.063,0.842,4.158,0
9.178,0.907,0.401,0.115,0.244,0.059,0.819,4.208,0
9.214,0.928,0.272,0.1,0.203,0.056,0.632,4.128,0
9.195,0.918,0.299,0.1,0.207,0.054,0.66,4.155,0
9.202,0.93,0.286,0.094,0.188,0.048,0.616,4.023,0
9.199,0.93,0.223,0.089,0.187,0.048,0.546,4.254,0
9.22,0.934,0.257,0.082,0.169,0.049,0.558,4.195,0
9.2,0.927,0.252,0.087,0.189,0.049,0.576,4.088,0
9.23,0.937,0.188,0.075,0.161,0.043,0.467,4.035,0
9.212,0.937,0.125,0.078,0.171,0.043,0.417,4.24,0
9.231,0.936,0.179,0.074,0.173,0.04,0.466,4.227,0
9.238,0.932,0.154,0.069,0.171,0.044,0.438,4.147,0
9.242,0.933,0.206,0.08,0.172,0.043,0.501,4.098,0
9.249,0.944,0.191,0.057,0.146,0.039,0.433,4.094,0
9.241,0.942,0.14,0.066,0.164,0.04,0.409,4.108,0
9.243,0.944,0.161,0.058,0.146,0.037,0.402,4.239,0
9.235,0.939,0.131,0.059,0.157,0.038,0.385,4.229,0
9.232,0.948,0.145,0.054,0.138,0.035,0.372,4.295,0
9.216,0.944,0.138,0.059,0.154,0.04,0.391,4.269,0
9.219,0.95,0.14,0.053,0.135,0.04,0.368,4.07,0
9.197,0.946,0.14,0.062,0.135,0.037,0.374,4.255,0
9.198,0.952,0.154,0.053,0.127,0.034,0.368,4.097,0
9.185,0.954,0.111,0.056,0.123,0.033,0.324,4.088,0
9.188,0.95,0.148,0.056,0.137,0.035,0.376,4.221,0
9.182,0.951,0.106,0.048,0.133,0.036,0.322,4.126,0
9.176,0.95,0.138,0.053,0.124,0.033,0.348,4.293,0
9.177,0.953,0.128,0.044,0.119,0.033,0.324,4.154,0
9.17,0.948,0.135,0.05,0.128,0.034,0.347,4.193,0
9.17,0.955,0.125,0.048,0.123,0.031,0.326,4.181,0
9.164,0.954,0.11,0.051,0.117,0.03,0.308,4.157,0
9.167,0.954,0.136,0.05,0.123,0.032,0.341,4.406,0
9.165,0.954,0.112,0.05,0.124,0.033,0.319,4.27,0
9.167,0.955,0.092,0.042,0.118,0.034,0.286,4.293,0
9.162,0.95,0.145,0.048,0.129,0.031,0.353,4.357,0
9.165,0.954,0.11,0.04,0.119,0.031,0.301,4.126,0
9.157,0.952,0.114,0.05,0.129,0.029,0.322,4.245,0
